drug_id,active_ingredient
133_train,PREDNISOLONE (MÉTASULFOBENZOATE SODIQUE DE)
133_train, PREDNISOLONE
134_train,MÉSALAZINE
135_train,PRAVASTATINE SODIQUE
136_train,AMOXICILLINE TRIHYDRATÉE
136_train, AMOXICILLINE ANHYDRE
136_train, ACIDE CLAVULANIQUE
136_train, CLAVULANATE DE POTASSIUM
137_train,PRISTINAMYCINE
138_train,AMOXICILLINE ANHYDRE
138_train, AMOXICILLINE TRIHYDRATÉE
139_train,CLOZAPINE
140_train,GLIMÉPIRIDE
141_train,HYDROCHLOROTHIAZIDE
141_train, VALSARTAN
142_train,PRAMIPEXOLE BASE
142_train, DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ
143_train,OFLOXACINE
144_train,ALTIZIDE
144_train, SPIRONOLACTONE
145_train,CITRATE DE TAMOXIFÈNE
145_train, TAMOXIFÈNE BASE
146_train,FUROSÉMIDE
147_train,AMLODIPINE
147_train, BÉSILATE D'AMLODIPINE
148_train,BISOPROLOL (FUMARATE ACIDE DE)
149_train,OXALATE D'ESCITALOPRAM
149_train, ESCITALOPRAM
150_train,ACIDE ASCORBIQUE
150_train, FER
150_train, SULFATE FERREUX
151_train,CHOLÉCALCIFÉROL
152_train,DANTROLÈNE SODIQUE
153_train,TACROLIMUS MONOHYDRATÉ
154_train,QUINAGOLIDE
154_train, CHLORHYDRATE DE QUINAGOLIDE
154_train, CHLORHYDRATE DE QUINAGOLIDE
154_train, QUINAGOLIDE
155_train,CLARITHROMYCINE
156_train,PIPÉRACILLINE BASE
156_train, PIPÉRACILLINE SODIQUE
156_train, TAZOBACTAM SODIQUE
156_train, TAZOBACTAM
157_train,FOSINOPRIL SODIQUE
157_train, HYDROCHLOROTHIAZIDE
158_train,SPIRONOLACTONE
158_train, FUROSÉMIDE
159_train,INDAPAMIDE
159_train, INDAPAMIDE HÉMIHYDRATÉ
160_train,BÉTAMÉTHASONE
160_train, BÉTAMETHASONE (PHOSPHATE DE) ET DE DISODIUM
161_train,PANTOPRAZOLE
161_train, PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ
162_train,IOBITRIDOL
162_train, IODE
163_train,CIPROFLOXACINE
163_train, CHLORHYDRATE DE CIPROFLOXACINE
164_train,DESLORATADINE
165_train,FLUVASTATINE SODIQUE
165_train, FLUVASTATINE BASE
166_train,ZOPICLONE
167_train,LÉVONORGESTREL
167_train, ÉTHINYLESTRADIOL
167_train, LÉVONORGESTREL
167_train, ÉTHINYLESTRADIOL
168_train,DESLORATADINE
169_train,LÉVODOPA
169_train, CARBIDOPA
169_train, ENTACAPONE
170_train,LOSARTAN POTASSIQUE
170_train, HYDROCHLOROTHIAZIDE
171_train,FLUOXÉTINE BASE
171_train, CHLORHYDRATE DE FLUOXÉTINE
172_train,CANDÉSARTAN CILEXÉTIL
173_train,CLONIDINE (CHLORHYDRATE DE)
174_train,IODE
174_train, IOMÉPROL
175_train,GADOTÉRIDOL
176_train,PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATÉ
176_train, PRAMIPEXOLE BASE
177_train,EXTRAIT ALLERGÉNIQUE DE POLLEN D'IVRAIE VIVACE
177_train, EXTRAIT ALLERGÉNIQUE DE POLLEN DE FLÉOLE DES PRÉS
177_train, DACTYLE AGGLOMÉRÉ (EXTRAIT ALLERGÉNIQUE DE POLLEN DE)
177_train, EXTRAIT ALLERGÉNIQUE DE POLLEN DE PÂTURIN DES PRÉS
177_train, EXTRAIT ALLERGÉNIQUE DE POLLEN DE FLOUVE ODORANTE
178_train,CHLORHYDRATE D'OXYBUTYNINE
179_train,CHLORHYDRATE DE DONÉPÉZIL
179_train, DONÉPÉZIL BASE
180_train,ACICLOVIR
181_train,ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ
181_train, ÉSOMÉPRAZOLE
182_train,MALÉATE D'ÉNALAPRIL
183_train,ZOLMITRIPTAN
184_train,ATORVASTATINE CALCIQUE
184_train, ATORVASTATINE
185_train,ZINC (GLUCONATE DE)
185_train, ZINC
186_train,ÉSOMÉPRAZOLE
186_train, ÉSOMÉPRAZOLE MAGNÉSIUM TRIHYDRATÉ
187_train,CANDÉSARTAN CILEXÉTIL
188_train,CHLORHYDRATE DE DONÉPÉZIL
189_train,CEFPODOXIME PROXÉTIL
189_train, CEFPODOXIME
190_train,FENTANYL
191_train,FUSIDATE DE SODIUM
192_train,BÉTAMÉTHASONE
193_train,SIMVASTATINE
194_train,MALÉATE DE TIMOLOL
194_train, LATANOPROST
194_train, TIMOLOL BASE
195_train,CHLORHYDRATE DE PROGUANIL
195_train, ATOVAQUONE
196_train,DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ
196_train, PRAMIPEXOLE BASE
197_train,BARYUM (SULFATE DE)
198_train,ÉPOÉTINE THÊTA 
199_train,TIMOLOL BASE
199_train, BIMATOPROST
199_train, TIMOLOL (MALÉATE DE)
200_train,ACÉTONIDE DE TRIAMCINOLONE
201_train,LAMOTRIGINE
202_train,HYDROXYPROGESTÉRONE (CAPROATE D')
203_train,GLICLAZIDE
204_train,CHLORHYDRATE D'IMIDAPRIL
204_train, IMIDAPRIL BASE
205_train,POTASSIUM (GLUCONATE DE)
206_train,RISPÉRIDONE
207_train,GEL DE PHOSPHATE D'ALUMINIUM
208_train,OMÉPRAZOLE
209_train,IOPROMIDE
209_train, IODE
210_train,SPIRONOLACTONE
211_train,GLUCOSE MONOHYDRATÉ
211_train, GLUCOSE ANHYDRE
212_train,FUMARATE DE RUPATADINE
212_train, RUPATADINE
213_train,IBUPROFÈNE
214_train,IODIXANOL
214_train, IODE
215_train,NORFLOXACINE
216_train,RALOXIFÈNE BASE
216_train, CHLORHYDRATE DE RALOXIFÈNE
217_train,PANTOPRAZOLE
217_train, PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ
218_train,CHLORHYDRATE D'ACÉBUTOLOL
218_train, ACÉBUTOLOL BASE
219_train,CHLORURE DE SODIUM
220_train,CHLORHYDRATE DE VALACICLOVIR
220_train, VALACICLOVIR
221_train,OLMÉSARTAN MÉDOXOMIL
222_train,PAROXÉTINE BASE
222_train, CHLORHYDRATE DE PAROXÉTINE HÉMIHYDRATÉ
223_train,ISPAGHUL (TÉGUMENT DE LA GRAINE D') (POUDRE DE)
224_train,TRINITRINE
225_train,HÉMIFUMARATE DE BISOPROLOL
226_train,SIMVASTATINE
227_train,PRAVASTATINE SODIQUE
228_train,ÉSOMÉPRAZOLE
228_train, ÉSOMÉPRAZOLE MAGNÉSIQUE TRIHYDRATÉ
229_train,DARBÉPOÉTINE ALFA 
230_train,TRINITRINE
231_train,ATORVASTATINE
231_train, ATORVASTATINE CALCIQUE TRIHYDRATÉE
232_train,MIRTAZAPINE
233_train,ALTIZIDE
233_train, SPIRONOLACTONE
234_train,PRAVASTATINE SODIQUE
235_train,GABAPENTINE
236_train,PÉRINDOPRIL TERT-BUTYLAMINE
236_train, PÉRINDOPRIL
237_train,MÉLOXICAM
238_train,RISÉDRONATE MONOSODIQUE ANHYDRE
239_train,LORATADINE
240_train,ESTRADIOL HÉMIHYDRATÉ
240_train, ESTRADIOL ANHYDRE
241_train,PIRACÉTAM
242_train,CITALOPRAM BASE
242_train, BROMHYDRATE DE CITALOPRAM
243_train,RALOXIFÈNE (CHLORHYDRATE DE)
243_train, RALOXIFÈNE BASE
244_train,ÉRYTHROMYCINE (ÉTHYLSUCCINATE D')
244_train, ÉRYTHROMYCINE BASE
245_train,RAMIPRIL
246_train,OLANZAPINE
247_train,LOSARTAN POTASSIQUE
248_train,VALSARTAN
248_train, HYDROCHLOROTHIAZIDE
249_train,CÉFUROXIME
249_train, CEFPODOXIME PROXÉTIL
250_train,CHLORHYDRATE DE NÉBIVOLOL
250_train, NÉBIVOLOL BASE
251_train,KÉTOPROFÈNE
252_train,RAMIPRIL
253_train,TRANDOLAPRIL
254_train,SODIUM (CHLORURE DE)
255_train,PARAFFINE LIQUIDE
255_train, VASELINE
255_train, GLYCÉROL
256_train,MONTÉLUKAST SODIQUE
256_train, MONTÉLUKAST ACIDE
257_train,GLIMÉPIRIDE
258_train,OMÉPRAZOLE
259_train,FENTANYL
260_train,MÉTRONIDAZOLE
261_train,RIBAVIRINE
262_train,APIXABAN
263_train,CHLOROBUTANOL HÉMIHYDRATÉ
263_train, CHLORHEXIDINE (DIGLUCONATE DE)
263_train, SOLUTION DE
264_train,ATORVASTATINE
264_train, ATORVASTATINE CALCIQUE
265_train,RIBAVIRINE
266_train,AMLODIPINE
266_train, AMLODIPINE (BÉSILATE D')
267_train,CHLORHYDRATE D'AMILORIDE
267_train, CHLORHYDRATE D'AMILORIDE ANHYDRE
267_train, HYDROCHLOROTHIAZIDE
268_train,PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ
268_train, PANTOPRAZOLE
269_train,ESTRADIOL
269_train, ESTRADIOL
269_train, ESTRADIOL HÉMIHYDRATÉ
269_train, GESTODÈNE
269_train, ESTRADIOL HÉMIHYDRATÉ
270_train,RISPÉRIDONE
271_train,PÉRINDOPRIL TERT-BUTYLAMINE
271_train, PÉRINDOPRIL
272_train,INTERFÉRON BÊTA-1B
273_train,GADOBÉNATE DE DIMÉGLUMINE
273_train, ACIDE GADOBÉNIQUE
274_train,GLYCINE
274_train, TRIGLYCÉRIDES À CHAÎNE MOYENNE
274_train, ZINC (ACÉTATE DE) DIHYDRATÉ
274_train, MÉTHIONINE
274_train, LYSINE
274_train, PROLINE
274_train, CHLORURE DE SODIUM
274_train, HUILE DE SOJA RAFFINÉE
274_train, THRÉONINE
274_train, HISTIDINE
274_train, ACÉTATE DE POTASSIUM
274_train, TRYPTOPHANE L
274_train, ALANINE
274_train, CHLORHYDRATE D'HISTIDINE MONOHYDRATÉ
274_train, SÉRINE
274_train, MAGNÉSIUM (ACÉTATE DE) TÉTRAHYDRATÉ
274_train, GLUCOSE ANHYDRE
274_train, ISOLEUCINE
274_train, GLUCOSE MONOHYDRATÉ
274_train, ACIDE ASPARTIQUE
274_train, ACIDE GLUTAMIQUE
274_train, CHLORURE DE CALCIUM
274_train, ACÉTATE DE SODIUM
274_train, CHLORHYDRATE DE LYSINE
274_train, HYDROXYDE DE SODIUM
274_train, ARGININE
274_train, PHÉNYLALANINE
274_train, LEUCINE
274_train, VALINE
274_train, PHOSPHATE MONOSODIQUE DIHYDRATÉ
275_train,CÉLÉCOXIB
276_train,HYDROCHLOROTHIAZIDE
276_train, VALSARTAN
277_train,AMOXICILLINE TRIHYDRATÉE
277_train, ACIDE CLAVULANIQUE
277_train, AMOXICILLINE ANHYDRE
277_train, CLAVULANATE DE POTASSIUM
278_train,ALENDRONATE MONOSODIQUE TRIHYDRATÉ
278_train, ALENDRONIQUE (ACIDE)
278_train, CHOLÉCALCIFÉROL
279_train,FÉNOFIBRATE
280_train,INDAPAMIDE
280_train, PÉRINDOPRIL TERT-BUTYLAMINE
280_train, PÉRINDOPRIL
281_train,CANDÉSARTAN CILEXÉTIL
282_train,THIOCOLCHICOSIDE
283_train,PÉRINDOPRIL TERT-BUTYLAMINE
283_train, PÉRINDOPRIL
284_train,IRBÉSARTAN
285_train,INDAPAMIDE
286_train,IRBÉSARTAN
287_train,ACÉBUTOLOL BASE
287_train, CHLORHYDRATE D'ACÉBUTOLOL
288_train,CICLOSPORINE
289_train,VENLAFAXINE
289_train, CHLORHYDRATE DE VENLAFAXINE
290_train,TOBRAMYCINE
291_train,RAMIPRIL
292_train,CHLORHYDRATE D'IRBÉSARTAN
292_train, IRBÉSARTAN
292_train, HYDROCHLOROTHIAZIDE
293_train,LISURIDE (MALÉATE ACIDE DE)
294_train,CHLORHYDRATE D'AMIODARONE
295_train,IMIPÉNEM MONOHYDRATÉ
295_train, IMIPÉNEM ANHYDRE
295_train, CILASTATINE SODIQUE
295_train, CILASTATINE ANHYDRE
296_train,PRAVASTATINE SODIQUE
297_train,METFORMINE BASE
297_train, CHLORHYDRATE DE METFORMINE
298_train,AMOXICILLINE TRIHYDRATÉE
298_train, AMOXICILLINE ANHYDRE
299_train,TELMISARTAN
300_train,AMLODIPINE
300_train, BÉSILATE D'AMLODIPINE
301_train,LACOSAMIDE
302_train,CHLORHYDRATE DE SERTRALINE
302_train, SERTRALINE
303_train,RISPÉRIDONE
304_train,CHLORHYDRATE DE SOTALOL
305_train,BICALUTAMIDE
306_train,ATÉNOLOL
306_train, NIFÉDIPINE
307_train,SILODOSINE
308_train,KÉTOPROFÈNE
309_train,RABÉPRAZOLE SODIQUE
310_train,CHLORHYDRATE DE ROPINIROLE
310_train, ROPINIROLE
311_train,ÉPOÉTINE ZÊTA 
312_train,ATORVASTATINE CALCIQUE
312_train, ATORVASTATINE
313_train,FLUVASTATINE
313_train, FLUVASTATINE SODIQUE
314_train,CARBONATE DE CALCIUM
314_train, CONCENTRAT DE CHOLÉCALCIFÉROL
314_train, FORME PULVÉRULENTE
314_train, CALCIUM ÉLÉMENT
314_train, CHOLÉCALCIFÉROL
315_train,FENTANYL (CITRATE DE)
315_train, FENTANYL
316_train,ZOPICLONE
317_train,CARVÉDILOL
318_train,ZOFÉNOPRIL CALCIQUE
318_train, ZOFÉNOPRIL
319_train,DOMPÉRIDONE
320_train,LANSOPRAZOLE
321_train,DÉSOGESTREL
322_train,IRBÉSARTAN
323_train,CHLORURE DE CALCIUM
323_train, THRÉONINE
323_train, ARGININE
323_train, TRIGLYCÉRIDES À CHAÎNE MOYENNE
323_train, CHLORURE DE SODIUM
323_train, HYDROXYDE DE SODIUM
323_train, ISOLEUCINE
323_train, ZINC (ACÉTATE DE) DIHYDRATÉ
323_train, HISTIDINE
323_train, GLUCOSE ANHYDRE
323_train, PROLINE
323_train, ACÉTATE DE POTASSIUM
323_train, LYSINE
323_train, MÉTHIONINE
323_train, VALINE
323_train, LEUCINE
323_train, CHLORHYDRATE DE LYSINE
323_train, ACÉTATE DE SODIUM
323_train, CHLORHYDRATE D'HISTIDINE MONOHYDRATÉ
323_train, MAGNÉSIUM (ACÉTATE DE) TÉTRAHYDRATÉ
323_train, PHOSPHATE MONOSODIQUE DIHYDRATÉ
323_train, ACIDE ASPARTIQUE
323_train, HUILE DE SOJA RAFFINÉE
323_train, GLYCINE
323_train, PHÉNYLALANINE
323_train, ALANINE
323_train, ACIDE GLUTAMIQUE
323_train, SÉRINE
323_train, GLUCOSE MONOHYDRATÉ
323_train, TRYPTOPHANE L
324_train,AMOXICILLINE TRIHYDRATÉE
324_train, CLAVULANATE DE POTASSIUM
324_train, ACIDE CLAVULANIQUE
324_train, AMOXICILLINE ANHYDRE
325_train,RAMIPRIL
326_train,CLARITHROMYCINE
327_train,TARTRATE DE ZOLPIDEM
328_train,ÉRYTHROMYCINE BASE
328_train, ÉRYTHROMYCINE DIHYDRATÉE
329_train,TÉLITHROMYCINE
330_train,BROMOCRIPTINE BASE
330_train, BROMOCRIPTINE (MÉSILATE DE)
331_train,LÉVÉTIRACÉTAM
332_train,VALPROATE DE SODIUM
332_train, ACIDE VALPROÏQUE
333_train,HYDROCHLOROTHIAZIDE
333_train, QUINAPRIL BASE
333_train, CHLORHYDRATE DE QUINAPRIL
334_train,HYDROCHLOROTHIAZIDE
334_train, CANDÉSARTAN CILEXÉTIL
335_train,PREDNISONE
336_train,LOSARTAN POTASSIQUE
336_train, HYDROCHLOROTHIAZIDE
337_train,ESTRADIOL HÉMIHYDRATÉ
337_train, LÉVONORGESTREL
338_train,SPIRONOLACTONE
339_train,PYRANTEL (EMBONATE DE)
339_train, PYRANTEL BASE
340_train,NIFÉDIPINE
341_train,ÉPOÉTINE ZÊTA 
342_train,FLUORURE DE SODIUM
342_train, FLUOR ÉLÉMENT
343_train,SAXAGLIPTINE
343_train, CHLORHYDRATE DE METFORMINE
343_train, CHLORHYDRATE DE SAXAGLIPTINE
344_train,ONDANSÉTRON (CHLORHYDRATE D') DIHYDRATÉ
344_train, ONDANSÉTRON
345_train,PÉRINDOPRIL TERT-BUTYLAMINE
345_train, PÉRINDOPRIL
346_train,CHLORHYDRATE DE NÉBIVOLOL
346_train, NÉBIVOLOL BASE
347_train,MÉLOXICAM
348_train,INDAPAMIDE
348_train, PÉRINDOPRIL
348_train, PÉRINDOPRIL TERT-BUTYLAMINE
349_train,THIOCOLCHICOSIDE
350_train,PIRACÉTAM
351_train,KÉTOPROFÈNE
352_train,HYDROCHLOROTHIAZIDE
352_train, FUMARATE DE BISOPROLOL
353_train,THIAMPHÉNICOL
354_train,PEGINTERFÉRON ALFA-2B 
355_train,MORPHINE
355_train, MORPHINE (SULFATE DE)
356_train,INDAPAMIDE
357_train,PARACÉTAMOL
358_train,DOMPÉRIDONE
359_train,ALMOTRIPTAN
359_train, MALATE D'ALMOTRIPTAN
360_train,CAPTOPRIL
361_train,PANTOPRAZOLE
361_train, PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ
362_train,CHLORHYDRATE DE TRAMADOL
363_train,ACIDE ACÉTYLSALICYLIQUE
363_train, DL-LYSINE (ACÉTYLSALICYLATE DE)
364_train,CÉFACLOR MONOHYDRATÉ
364_train, CÉFACLOR ANHYDRE
365_train,ATROPINE (SULFATE D')
366_train,TINZAPARINE SODIQUE 
367_train,TRANDOLAPRIL
368_train,TARTRATE DE ZOLPIDEM
369_train,PARACÉTAMOL
370_train,LAMIVUDINE
371_train,ACIDE RISÉDRONIQUE
371_train, RISÉDRONATE MONOSODIQUE ANHYDRE
372_train,OFLOXACINE
373_train,SIMVASTATINE
374_train,SITAGLIPTINE
374_train, PHOSPHATE DE SITAGLIPTINE MONOHYDRATÉ
375_train,CHLORHYDRATE DE DONÉPÉZIL
376_train,DARBÉPOÉTINE ALFA 
377_train,SPIRONOLACTONE
378_train,LISINOPRIL ANHYDRE
378_train, HYDROCHLOROTHIAZIDE
378_train, LISINOPRIL DIHYDRATÉ
379_train,NEISSERIA MENINGITIDIS DU GROUPE A (OLIGOSIDE DE) CONJUGUÉ À LA PROTÉINE CRM197
379_train, OLIGOSIDE DE NEISSERIA MENINGITIDIS DU GROUPE C CONJUGUÉ À LA PROTÉINE CRM197
379_train, OLIGOSIDE DE NEISSERIA MENINGITIDIS DU GROUPE W135 CONJUGUÉ À LA PROTÉINE CRM197
379_train, OLIGOSIDE DE NEISSERIA MENINGITIDIS DU GROUPE Y CONJUGUÉ À LA PROTÉINE CRM197
380_train,FUMARATE DE BISOPROLOL
380_train, HYDROCHLOROTHIAZIDE
381_train,LANSOPRAZOLE
382_train,DIÉTHYLSTILBESTROL
383_train,AMOXICILLINE ANHYDRE
383_train, AMOXICILLINE TRIHYDRATÉE
384_train,MIRTAZAPINE
385_train,FÉNOFIBRATE
386_train,NITRATE D'ÉCONAZOLE
387_train,ROSUVASTATINE CALCIQUE
387_train, ROSUVASTATINE
388_train,MONTÉLUKAST SODIQUE
388_train, MONTÉLUKAST
389_train,HYDROCHLOROTHIAZIDE
389_train, VALSARTAN
390_train,NÉVIRAPINE ANHYDRE
391_train,IBUPROFÈNE
392_train,DICHLORHYDRATE DE BÉTAHISTINE
393_train,LANSOPRAZOLE
394_train,FÉNOFIBRATE
395_train,CROMOGLICATE DE SODIUM
396_train,LAMOTRIGINE
397_train,ÉSOMÉPRAZOLE
397_train, ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ
398_train,SOMATROPINE 
399_train,CANDÉSARTAN CILEXÉTIL
400_train,CANDÉSARTAN CILEXÉTIL
401_train,AMOXICILLINE ANHYDRE
401_train, POTASSIUM (CLAVULANATE DE)
401_train, ACIDE CLAVULANIQUE
401_train, AMOXICILLINE TRIHYDRATÉE
402_train,CANDÉSARTAN CILEXÉTIL
402_train, HYDROCHLOROTHIAZIDE
403_train,GLICLAZIDE
404_train,AMISULPRIDE
405_train,OLANZAPINE
406_train,SERENOA REPENS (EXTRAIT LIPIDO-STÉROLIQUE DE)
407_train,RÉPAGLINIDE
408_train,AMLODIPINE
408_train, BÉSILATE D'AMLODIPINE
408_train, OLMÉSARTAN MÉDOXOMIL
409_train,DÉSOGESTREL
410_train,ACIDE ALENDRONIQUE
410_train, ALENDRONATE MONOSODIQUE TRIHYDRATÉ
